Time (UTC),Price (USD/MWh)
2022-10-08 15,85.99854408995563
2022-10-08 16,94.66766640801806
2022-10-08 17,97.32329901951417
2022-10-08 18,99.72752044
2022-10-08 19,99.72752044
2022-10-08 20,99.72752044
2022-10-08 21,119.17625442985067
2022-10-08 22,149.61928189727925
2022-10-08 23,180.06230936471042
2022-10-09 00,179.30372682935405
2022-10-09 01,143.4151827045917
2022-10-09 02,107.5266385798263
2022-10-09 03,79.7688356842068
2022-10-09 04,59.842976712785656
2022-10-09 05,54.32584246359094
2022-10-09 06,54.85812608614885
2022-10-09 07,55.39040970870673
2022-10-09 08,165.13705692902997
2022-10-09 09,217.3142642204049
2022-10-09 10,254.04741799636946
2022-10-09 11,216.39605481163844
2022-10-09 12,168.35290808524
2022-10-09 13,92.07043824872223
2022-10-09 14,75.82767980578413
2022-10-09 15,65.12181005763405
2022-10-09 16,69.74798516732547
2022-10-09 17,45.17967767881788
2022-10-09 18,57.162466709277616
2022-10-09 19,76.91664501936913
2022-10-09 20,96.67082332946231
2022-10-09 21,116.42500163955549
2022-10-09 22,156.53738549218048
2022-10-09 23,222.73705574653314
2022-10-10 00,239.04424033901637
2022-10-10 01,197.39909279477536
2022-10-10 02,158.8443703905875
2022-10-10 03,146.0298909485426
2022-10-10 04,133.21541150649878
2022-10-10 05,141.06676436945497
2022-10-10 06,158.50249600171023
2022-10-10 07,175.93822763396398
2022-10-10 08,193.37395926621923
2022-10-10 09,228.03769977562368
2022-10-10 10,261.6317446522662
2022-10-10 11,184.02479163076424
2022-10-10 12,165.4247796508635
2022-10-10 13,153.55616710773882
2022-10-10 14,124.7725353948265
2022-10-10 15,118.27488090129688
2022-10-10 16,115.15829374420048
2022-10-10 17,112.0417065871038
2022-10-10 18,115.52792157194875
2022-10-10 19,146.0542586839765
2022-10-10 20,176.5805957960069
2022-10-10 21,207.10693290803727
2022-10-10 22,258.6794102575572
2022-10-10 23,336.5065423970933
2022-10-11 00,298.56955096639007
2022-10-11 01,260.63255953569006
2022-10-11 02,222.69556810498682
2022-10-11 03,184.75857667428357
2022-10-11 04,189.30644355776334
2022-10-11 05,197.88480007017816
2022-10-11 06,218.10477278042228
2022-10-11 07,253.39695778363264
2022-10-11 08,288.689142786846
2022-10-11 09,370.1623476232244
2022-10-11 10,457.46215091743375
2022-10-11 11,415.27702012050685
2022-10-11 12,352.9581820255188
2022-10-11 13,290.63934393053614
2022-10-11 14,248.12981039130975
2022-10-11 15,235.02240504839915
2022-10-11 16,221.9149997054897
2022-10-11 17,208.8075943625791
2022-10-11 18,201.76753451550937
2022-10-11 19,226.1733905383814
2022-10-11 20,250.5792465612555
2022-10-11 21,276.46567892828824
2022-10-11 22,411.8156610318126
2022-10-11 23,395.300250469735
2022-10-12 00,312.8045682976698
