Time (UTC), WUE (L/kWh)
2022-10-07 00,2.9044489214959195
2022-10-07 01,3.0135112076584623
2022-10-07 02,3.034285185009316
2022-10-07 03,3.0869118875431623
2022-10-07 04,3.1119480950172758
2022-10-07 05,3.1365130362020435
2022-10-07 06,3.1441943552498257
2022-10-07 07,3.1343309130877364
2022-10-07 08,3.165440020610233
2022-10-07 09,3.174328159190831
2022-10-07 10,3.207858059166676
2022-10-07 11,3.2282828145121485
2022-10-07 12,3.221698859668763
2022-10-07 13,3.222425819099133
2022-10-07 14,3.2196145381265913
2022-10-07 15,3.11687599612819
2022-10-07 16,2.9680064927863254
2022-10-07 17,2.934151473067377
2022-10-07 18,2.9564831109646197
2022-10-07 19,2.8384497457116167
2022-10-07 20,2.7187869420684745
2022-10-07 21,2.6065632293121777
2022-10-07 22,2.4535499637135896
2022-10-07 23,2.3691129397197175
2022-10-08 00,2.269017048608796
2022-10-08 01,2.1212955850480126
2022-10-08 02,2.2221311593535757
2022-10-08 03,2.2239162276735565
2022-10-08 04,2.2333175213461023
