Time (UTC), WUE (L/kWh)
2022-10-08 01,4.057291279835001
2022-10-08 02,4.128086825381867
2022-10-08 03,4.153294048386723
2022-10-08 04,4.17357874624019
2022-10-08 05,4.320318132533558
2022-10-08 06,4.325624367794568
2022-10-08 07,4.183324628648877
2022-10-08 08,4.096443522019128
2022-10-08 09,3.909902816170904
2022-10-08 10,3.88696402011565
2022-10-08 11,3.86478690915108
2022-10-08 12,3.9579655912458502
2022-10-08 13,3.957789813615765
2022-10-08 14,3.8262871351759458
2022-10-08 15,3.8066642491424516
2022-10-08 16,3.7281660044743345
2022-10-08 17,3.7077130785330565
2022-10-08 18,3.607629138441445
2022-10-08 19,3.476484834262465
2022-10-08 20,2.8678583707203678
2022-10-08 21,2.5962496173966794
2022-10-08 22,2.6090463531820918
2022-10-08 23,2.4748044010888304
2022-10-09 00,2.1985180596956932
2022-10-09 01,2.196595956259152
2022-10-09 02,2.3348657321436934
2022-10-09 03,2.3715336932859623
2022-10-09 04,2.0603337986801185
2022-10-09 05,1.7050197828545943
2022-10-09 06,2.0928557135386034
2022-10-09 07,2.312258975991558
2022-10-09 08,2.6310584568124287
2022-10-09 09,3.7364553195233006
2022-10-09 10,4.145832148561099
2022-10-09 11,4.33510319742191
2022-10-09 12,4.366350258085987
2022-10-09 13,4.355571979098172
2022-10-09 14,4.405684350264237
2022-10-09 15,4.370434655861519
2022-10-09 16,4.368587204370721
2022-10-09 17,4.317440410561531
2022-10-09 18,4.20821148453126
2022-10-09 19,4.068716591869193
2022-10-09 20,3.997621293067094
2022-10-09 21,3.7395192180633625
2022-10-09 22,3.648434375081358
2022-10-09 23,3.2196256249285007
2022-10-10 00,2.970598179756995
2022-10-10 01,2.8676697459050846
2022-10-10 02,2.711198050593076
2022-10-10 03,2.843879998912008
2022-10-10 04,2.5817395622417036
2022-10-10 05,2.883923074109138
2022-10-10 06,2.5962899906389434
2022-10-10 07,2.604294259807321
2022-10-10 08,3.0637483459170545
2022-10-10 09,3.5579874144988013
2022-10-10 10,3.747985570439962
2022-10-10 11,3.8604434468810824
2022-10-10 12,3.87474622291061
2022-10-10 13,3.9208479837436157
2022-10-10 14,3.978902135490147
2022-10-10 15,3.950900296749616
2022-10-10 16,3.7807761044851675
2022-10-10 17,3.8341129928182704
2022-10-10 18,3.6694079122939787
2022-10-10 19,3.6351410230187433
2022-10-10 20,3.6089769833671457
2022-10-10 21,3.406581982779709
2022-10-10 22,3.2098476710059813
2022-10-10 23,3.358238372834851
2022-10-11 00,3.2415145427455103
